race_race_id,race_season_year,driver_driver_id,fastest_lap,points_position
1,2021,1,NULL,11
1,2021,2,NULL,12
1,2021,3,NULL,17
1,2021,4,NULL,9
1,2021,5,NULL,19
1,2021,6,NULL,13
1,2021,7,NULL,15
1,2021,8,NULL,10
1,2021,9,NULL,6
1,2021,10,NULL,8
1,2021,11,NULL,20
1,2021,12,NULL,16
1,2021,13,NULL,7
1,2021,14,NULL,4
1,2021,15,NULL,1
1,2021,16,1.53483,3
1,2021,17,NULL,5
1,2021,18,NULL,2
1,2021,19,NULL,18
1,2021,20,NULL,14
2,2021,1,NULL,13
2,2021,2,NULL,14
2,2021,3,NULL,7
2,2021,4,NULL,12
2,2021,5,NULL,10
2,2021,6,NULL,9
2,2021,7,NULL,15
2,2021,8,NULL,8
2,2021,9,NULL,4
2,2021,10,NULL,5
2,2021,11,NULL,17
2,2021,12,NULL,16
2,2021,13,NULL,6
2,2021,14,NULL,3
2,2021,15,1.27836,2
2,2021,16,NULL,18
2,2021,17,NULL,11
2,2021,18,NULL,1
2,2021,19,NULL,20
2,2021,20,NULL,19
3,2021,1,NULL,20
3,2021,2,NULL,12
3,2021,3,NULL,10
3,2021,4,NULL,15
3,2021,5,NULL,8
3,2021,6,NULL,7
3,2021,7,NULL,13
3,2021,8,NULL,14
3,2021,9,NULL,6
3,2021,10,NULL,11
3,2021,11,NULL,19
3,2021,12,NULL,17
3,2021,13,NULL,9
3,2021,14,NULL,5
3,2021,15,NULL,1
3,2021,16,1.33108,3
3,2021,17,NULL,4
3,2021,18,NULL,2
3,2021,19,NULL,18
3,2021,20,NULL,16
4,2021,1,NULL,12
4,2021,2,NULL,15
4,2021,3,NULL,10
4,2021,4,NULL,20
4,2021,5,NULL,17
4,2021,6,NULL,9
4,2021,7,NULL,13
4,2021,8,NULL,11
4,2021,9,NULL,4
4,2021,10,NULL,7
4,2021,11,NULL,19
4,2021,12,NULL,18
4,2021,13,NULL,6
4,2021,14,NULL,8
4,2021,15,NULL,1
4,2021,16,NULL,3
4,2021,17,NULL,5
4,2021,18,1.30248,2
4,2021,19,NULL,16
4,2021,20,NULL,14
5,2021,1,NULL,11
5,2021,2,NULL,10
5,2021,3,NULL,6
5,2021,4,NULL,16
5,2021,5,NULL,13
5,2021,6,NULL,9
5,2021,7,NULL,5
5,2021,8,NULL,8
5,2021,9,NULL,20
5,2021,10,NULL,2
5,2021,11,NULL,17
5,2021,12,NULL,18
5,2021,13,NULL,12
5,2021,14,NULL,3
5,2021,15,1.21515,7
5,2021,16,NULL,19
5,2021,17,NULL,4
5,2021,18,NULL,2
5,2021,19,NULL,15
5,2021,20,NULL,14
6,2021,1,NULL,10
6,2021,2,NULL,11
6,2021,3,NULL,3
6,2021,4,NULL,7
6,2021,5,NULL,6
6,2021,6,NULL,20
6,2021,7,NULL,2
6,2021,8,NULL,19
6,2021,9,NULL,4
6,2021,10,NULL,8
6,2021,11,NULL,14
6,2021,12,NULL,13
6,2021,13,NULL,9
6,2021,14,NULL,5
6,2021,15,NULL,15
6,2021,16,NULL,12
6,2021,17,NULL,1
6,2021,18,1.74135,18
6,2021,19,NULL,16
6,2021,20,NULL,17
7,2021,1,NULL,17
7,2021,2,NULL,15
7,2021,3,NULL,7
7,2021,4,NULL,13
7,2021,5,NULL,8
7,2021,6,NULL,14
7,2021,7,NULL,9
7,2021,8,NULL,10
7,2021,9,NULL,16
7,2021,10,NULL,11
7,2021,11,NULL,20
7,2021,12,NULL,19
7,2021,13,NULL,6
7,2021,14,NULL,5
7,2021,15,NULL,2
7,2021,16,NULL,4
7,2021,17,NULL,3
7,2021,18,1.60673,1
7,2021,19,NULL,18
7,2021,20,NULL,12
8,2021,1,NULL,11
8,2021,2,NULL,15
8,2021,3,NULL,20
8,2021,4,NULL,10
8,2021,5,NULL,9
8,2021,6,NULL,14
8,2021,7,NULL,12
8,2021,8,NULL,8
8,2021,9,NULL,7
8,2021,10,NULL,6
8,2021,11,NULL,18
8,2021,12,NULL,16
8,2021,13,NULL,13
8,2021,14,NULL,5
8,2021,15,1.11763,2
8,2021,16,NULL,3
8,2021,17,NULL,4
8,2021,18,NULL,1
8,2021,19,NULL,17
8,2021,20,NULL,19
9,2021,1,NULL,15
9,2021,2,NULL,14
9,2021,3,NULL,9
9,2021,4,NULL,12
9,2021,5,NULL,10
9,2021,6,NULL,20
9,2021,7,NULL,17
9,2021,8,NULL,13
9,2021,9,NULL,8
9,2021,10,NULL,5
9,2021,11,NULL,19
9,2021,12,NULL,18
9,2021,13,NULL,7
9,2021,14,NULL,3
9,2021,15,NULL,4
9,2021,16,NULL,2
9,2021,17,NULL,6
9,2021,18,1.103,1
9,2021,19,NULL,16
9,2021,20,NULL,11
10,2021,1,NULL,15
10,2021,2,NULL,13
10,2021,3,NULL,11
10,2021,4,NULL,10
10,2021,5,NULL,7
10,2021,6,NULL,9
10,2021,7,NULL,19
10,2021,8,NULL,8
10,2021,9,NULL,2
10,2021,10,NULL,6
10,2021,11,NULL,17
10,2021,12,NULL,18
10,2021,13,NULL,5
10,2021,14,NULL,4
10,2021,15,NULL,1
10,2021,16,NULL,3
10,2021,17,1.47695,16
10,2021,18,NULL,20
10,2021,19,NULL,14
10,2021,20,NULL,12
11,2021,1,NULL,10
11,2021,2,NULL,13
11,2021,3,NULL,5
11,2021,4,NULL,6
11,2021,5,NULL,4
11,2021,6,NULL,1
11,2021,7,NULL,20
11,2021,8,NULL,19
11,2021,9,NULL,17
11,2021,10,NULL,3
11,2021,11,NULL,14
11,2021,12,NULL,12
11,2021,13,NULL,11
11,2021,14,NULL,15
11,2021,15,NULL,2
11,2021,16,NULL,15
11,2021,17,NULL,16
11,2021,18,NULL,9
11,2021,19,NULL,7
11,2021,20,NULL,8
12,2021,1,NULL,18
12,2021,2,NULL,13
12,2021,3,NULL,6
12,2021,4,NULL,15
12,2021,5,NULL,11
12,2021,6,NULL,7
12,2021,7,NULL,5
12,2021,8,NULL,20
12,2021,9,NULL,8
12,2021,10,NULL,10
12,2021,11,NULL,17
12,2021,12,NULL,16
12,2021,13,NULL,4
12,2021,14,NULL,14
12,2021,15,NULL,3
12,2021,16,NULL,12
12,2021,17,NULL,19
12,2021,18,NULL,1
12,2021,19,NULL,9
12,2021,20,NULL,2
13,2021,2,NULL,14
13,2021,3,NULL,4
13,2021,4,NULL,19
13,2021,5,NULL,6
13,2021,6,NULL,9
13,2021,7,NULL,13
13,2021,8,NULL,12
13,2021,9,NULL,5
13,2021,10,NULL,7
13,2021,11,NULL,20
13,2021,12,NULL,18
13,2021,13,NULL,11
13,2021,14,NULL,10
13,2021,15,1.18495,2
13,2021,16,NULL,3
13,2021,17,NULL,8
13,2021,18,NULL,1
13,2021,19,NULL,16
13,2021,20,NULL,17
13,2021,21,NULL,15
14,2021,2,NULL,13
14,2021,3,NULL,19
14,2021,4,NULL,20
14,2021,5,NULL,8
14,2021,6,NULL,10
14,2021,7,NULL,12
14,2021,8,NULL,7
14,2021,9,NULL,4
14,2021,10,NULL,6
14,2021,11,NULL,16
14,2021,12,NULL,15
14,2021,13,NULL,1
14,2021,14,NULL,2
14,2021,15,NULL,17
14,2021,16,NULL,3
14,2021,17,NULL,5
14,2021,18,NULL,18
14,2021,19,NULL,11
14,2021,20,NULL,9
14,2021,21,NULL,14
15,2021,1,NULL,8
15,2021,2,NULL,16
15,2021,3,NULL,13
15,2021,4,NULL,17
15,2021,5,NULL,6
15,2021,6,NULL,14
15,2021,7,NULL,12
15,2021,8,NULL,11
15,2021,9,NULL,15
15,2021,10,NULL,3
15,2021,11,NULL,18
15,2021,12,NULL,20
15,2021,13,NULL,4
15,2021,14,NULL,7
15,2021,15,NULL,1
15,2021,16,NULL,5
15,2021,17,NULL,9
15,2021,18,NULL,2
15,2021,19,NULL,19
15,2021,20,NULL,10
16,2021,1,NULL,12
16,2021,2,NULL,11
16,2021,3,NULL,6
16,2021,4,NULL,14
16,2021,5,NULL,16
16,2021,6,NULL,10
16,2021,7,NULL,18
16,2021,8,NULL,9
16,2021,9,NULL,4
16,2021,10,NULL,8
16,2021,11,NULL,20
16,2021,12,NULL,19
16,2021,13,NULL,13
16,2021,14,NULL,7
16,2021,15,NULL,5
16,2021,16,1.5072,1
16,2021,17,NULL,3
16,2021,18,NULL,2
16,2021,19,NULL,17
16,2021,20,NULL,15
17,2021,1,NULL,13
17,2021,2,NULL,11
17,2021,3,NULL,20
17,2021,4,NULL,9
17,2021,5,NULL,18
17,2021,6,NULL,19
17,2021,7,NULL,10
17,2021,8,NULL,12
17,2021,9,NULL,4
17,2021,10,NULL,7
17,2021,11,NULL,17
17,2021,12,NULL,16
17,2021,13,NULL,5
17,2021,14,NULL,8
17,2021,15,1.64142,2
17,2021,16,NULL,6
17,2021,17,NULL,3
17,2021,18,NULL,1
17,2021,19,NULL,15
17,2021,20,NULL,14
18,2021,1,NULL,8
18,2021,2,NULL,11
18,2021,3,NULL,4
18,2021,4,NULL,20
18,2021,5,NULL,9
18,2021,6,NULL,13
18,2021,7,NULL,7
18,2021,8,NULL,14
18,2021,9,NULL,5
18,2021,10,NULL,6
18,2021,11,NULL,18
18,2021,12,NULL,19
18,2021,13,NULL,12
18,2021,14,NULL,10
18,2021,15,NULL,2
18,2021,16,1.29623,15
18,2021,17,NULL,3
18,2021,18,NULL,1
18,2021,19,NULL,17
18,2021,20,NULL,16
19,2021,1,NULL,12
19,2021,2,NULL,14
19,2021,3,NULL,7
19,2021,4,NULL,15
19,2021,5,NULL,9
19,2021,6,NULL,8
19,2021,7,NULL,11
19,2021,8,NULL,20
19,2021,9,NULL,5
19,2021,10,NULL,6
19,2021,11,NULL,17
19,2021,12,NULL,18
19,2021,13,NULL,19
19,2021,14,NULL,10
19,2021,15,NULL,1
19,2021,16,NULL,3
19,2021,17,1.1835,4
19,2021,18,NULL,2
19,2021,19,NULL,16
19,2021,20,NULL,13
20,2021,1,NULL,14
20,2021,2,NULL,15
20,2021,3,NULL,11
20,2021,4,NULL,13
20,2021,5,NULL,3
20,2021,6,NULL,5
20,2021,7,NULL,10
20,2021,8,NULL,6
20,2021,9,NULL,8
20,2021,10,NULL,7
20,2021,11,NULL,18
20,2021,12,NULL,16
20,2021,13,NULL,12
20,2021,14,NULL,9
20,2021,15,NULL,1
20,2021,16,NULL,20
20,2021,17,NULL,4
20,2021,18,1.3866,2
20,2021,19,NULL,19
20,2021,20,NULL,17
21,2021,1,NULL,15
21,2021,2,NULL,9
21,2021,3,NULL,6
21,2021,4,NULL,14
21,2021,5,NULL,13
21,2021,6,NULL,4
21,2021,7,NULL,16
21,2021,8,NULL,11
21,2021,9,NULL,7
21,2021,10,NULL,8
21,2021,11,NULL,18
21,2021,12,NULL,20
21,2021,13,NULL,5
21,2021,14,NULL,10
21,2021,15,1.51223,1
21,2021,16,NULL,3
21,2021,17,NULL,17
21,2021,18,NULL,2
21,2021,19,NULL,12
21,2021,20,NULL,19
22,2021,1,NULL,19
22,2021,2,NULL,17
22,2021,3,NULL,5
22,2021,4,NULL,4
22,2021,5,NULL,8
22,2021,6,NULL,9
22,2021,7,NULL,11
22,2021,8,NULL,13
22,2021,9,NULL,10
22,2021,10,NULL,3
22,2021,11,NULL,20
22,2021,12,NULL,14
22,2021,13,NULL,12
22,2021,14,NULL,7
22,2021,15,NULL,2
22,2021,16,NULL,6
22,2021,17,NULL,15
22,2021,18,1.43505,1
22,2021,19,NULL,16
22,2021,20,NULL,19
